,sent,title,year,author
1103,"In April 2010, Rowling published an article in The Times, in which she criticised Cameron's plan to encourage married couples to stay together by offering them a £150 annual tax credit: ""Nobody who has ever experienced the reality of poverty could say 'it's not the money, it's the message'.",,,J.K. Rowling
1060,"To further support the CHLG, Rowling auctioned one of seven handwritten and illustrated copies of The Tales of Beedle the Bard, a series of fairy tales referred to in Harry Potter and the Deathly Hallows.",,,J.K. Rowling
1083,"After her exposure as the true author of The Cuckoo's Calling led a massive increase in sales, Rowling announced she would donate all her royalties to the Army Benevolent Fund, claiming she had always intended to, but never expected the book to be a best-seller.
",,,J.K. Rowling
667,"Kerouac was taken to a nearby hospital, suffering from an abdominal hemorrhage.",,,Jack Kerouac
363,"At other times, he conjectured sardonically that perhaps God had created the world with all its tortures for some purpose of His own, but was otherwise indifferent to humanity, which was too petty and insignificant to deserve His attention anyway.
",,,Mark Twain
191,"=== Early journalism and travelogues ===
Twain was writing for the Virginia City newspaper the Territorial Enterprise in 1863 when he met lawyer Tom Fitch, editor of the competing newspaper Virginia Daily Union and known as the ""silver-tongued orator of the Pacific"".",,,Mark Twain
968,"==
",,,J.K. Rowling
408,"He died in 1869 and as he could no longer need that signature, I laid violent hands upon it without asking permission of the proprietor's remains.",,,Mark Twain
644,"Originally to be called The Beat Generation, the title was changed at the last moment when MGM released a film by the same name in July 1959 that sensationalized beatnik culture.
",,,Jack Kerouac
883,"An advertisement in The Guardian led Rowling to move to Porto, Portugal, to teach English as a foreign language.",,,J.K. Rowling
277,Twain's works have been subjected to censorship efforts.,,,Mark Twain
788,=,,,Jack Kerouac
1204,"Introduction to ""Ending Child Poverty"" in Moving Britain Forward.",,,J.K. Rowling
237,=,,,Mark Twain
600,"However, Kerouac had earlier taken an interest in Eastern thought.",,,Jack Kerouac
856,Rowling later said that she based the character of Hermione Granger on herself when she was eleven.,,,J.K. Rowling
225,Huckleberry Finn was an offshoot from Tom Sawyer and had a more serious tone than its predecessor.,,,Mark Twain
468,Nov. 1874:,,,Mark Twain
253,"The book had been a dream of his since childhood, and he claimed that he had found a manuscript detailing the life of Joan of Arc when he was an adolescent.",,,Mark Twain
1023,"On 17 February 2014, Rowling announced that the second Cormoran Strike novel, named The Silkworm, would be released in June 2014.",,,J.K. Rowling
868,"Martin Sorrell, a French professor at Exeter, remembers ""a quietly competent student, with a denim jacket and dark hair, who, in academic terms, gave the appearance of doing what was necessary"".",,,J.K. Rowling
389,His objection was not on a scientific basis but rather an ethical one.,,,Mark Twain
842,"Rowling originally believed he had won the Légion d'honneur during the war, as she said when she received it herself in 2009.",,,J.K. Rowling
795,"==


",,,Jack Kerouac
8,"His wit and satire, in prose and in speech, earned praise from critics and peers, and he was a friend to presidents, artists, industrialists, and European royalty.
",,,Mark Twain
857,"Sean Harris, her best friend in the Upper Sixth, owned a turquoise Ford Anglia which she says inspired a flying version that appeared in Harry Potter and the Chamber of Secrets.",,,J.K. Rowling
137,"In 1897, he spoke to the Concordia Press Club in Vienna as a special guest, following the diplomat Charlemagne Tower, Jr. He delivered the speech ""Die Schrecken der deutschen Sprache"" (""The Horrors of the German Language"")—in German—to the great amusement of the audience.",,,Mark Twain
451,"Mark Twain Museum at the Territorial Enterprise – Mark Twain Museum, Territorial Enterprise Building, Virginia City, Nevada Web site
Mark Twain House Museum Web site
Works by Mark Twain
Autobiography of Mark Twain, Volume 1, 2010",,,Mark Twain
746,"In 2009, the movie One Fast Move",,,Jack Kerouac
993,"On 23 February 2012, his agency, the Blair Partnership, announced on its website that Rowling was set to publish a new book targeted at adults.",,,J.K. Rowling
769,"Many of Kerouac's poems follow the style of his free-flowing, uninhibited prose, also incorporating elements of jazz and Buddhism. """,,,Jack Kerouac
460,"Mark Twain Papers, University of California Press.",,,Mark Twain
1079,"On 1 and 2 August 2006, she read alongside Stephen King and John Irving at Radio City Music Hall in New York City.",,,J.K. Rowling
1194,=,,,J.K. Rowling
672,"He is buried at Edson Cemetery, Lowell, Massachusetts.

",,,Jack Kerouac
283,"In a letter to friend and fellow writer William Dean Howells in 1887 he acknowledged that his views had changed and developed over his lifetime, referring to one of his favorite works:

When I finished Carlyle's French Revolution in 1871, I was a Girondin; every time I have read it since, I have read it differently – being influenced and changed, little by little, by life and environment ... and now I lay the book down once more, and recognize that I am a Sansculotte!",,,Mark Twain
435,"On a stormy evening I made a talk before a full house, in the village, clothed like a ghost, and looking as conspicuous, all solitary and alone on that platform, as any ghost could have looked; and I found, to my gratification, that it took the house less than ten minutes to forget about the ghost and give its attention to the tidings I had brought.
",,,Mark Twain
985,"Rowling's youngest child, daughter Mackenzie Jean Rowling Murray, to whom she dedicated Harry Potter and the Half-Blood Prince, was born on 23 January 2005.
",,,J.K. Rowling
984,"When Sarah Brown's son Fraser was born in 2003, Rowling was one of the first to visit her in hospital.",,,J.K. Rowling
516,"On May 17, 1928, while six years old, Kerouac had his first Confession.",,,Jack Kerouac
1004,"Rankin later retracted the story, claiming it was a joke, but the rumour persisted, with a report in 2012 in The Guardian speculating that Rowling's next book would be a crime novel.",,,J.K. Rowling
898,"She began a teacher training course in August 1995 at the Moray House School of Education, at Edinburgh University, after completing her first novel while living on state benefits.",,,J.K. Rowling
2,"Twain was raised in Hannibal, Missouri, which later provided the setting for Tom Sawyer and Huckleberry Finn.",,,Mark Twain
1203,"Brown, Gordon (2006).",,,J.K. Rowling
495,"Kerouac's baptism certificate lists his name simply as Jean Louis Kirouac, the most common spelling of the name in Quebec.",,,Jack Kerouac
199,It is a sin you must never commit again.,,,Mark Twain
425,"Evidence suggests that Twain began wearing white suits on the lecture circuit, after the death of his wife Olivia (""Livy"") in 1904.",,,Mark Twain
109,"Rogers first made him file for bankruptcy in April 1894, then had him transfer the copyrights on his written works to his wife to prevent creditors from gaining possession of them.",,,Mark Twain
183,"=

Twain began his career writing light, humorous verse, but he became a chronicler of the vanities, hypocrisies, and murderous acts of mankind.",,,Mark Twain
711,"On the Road, as many scholars, such as Paul Maher Jr., Joyce Johnson, Hassan Melehy, and Yannis Livadas have pointed out.


",,,Jack Kerouac
829,"Although she writes under the pen name J. K. Rowling, her name, before her remarriage, was simply Joanne Rowling.",,,J.K. Rowling
145,"Publishers in Toronto had printed unauthorized editions of his books at the time, before an international copyright agreement was established in 1891.",,,Mark Twain
525,""" Leo, after the death of his child, also treated a priest with similar contempt, angrily throwing him out of the house despite his invitation from Gabrielle.
",,,Jack Kerouac
1125,"In 2007, Rowling described having been brought up in the Church of England.",,,J.K. Rowling
147,He estimated that Belford Brothers' edition of The Adventures of Tom Sawyer alone had cost him ten thousand dollars.,,,Mark Twain
720,"Regarding On the Road, he wrote in a letter to Ginsberg, ""I can tell you now as I look back on the flood of language.",,,Jack Kerouac
1036,In October 2007 she stated that her future work was unlikely to be in the fantasy genre.,,,J.K. Rowling
445,"List of premature obituaries
",,,Mark Twain
958,"Daniel Radcliffe (Harry Potter) asked her if Harry died at any point in the series; Rowling answered him by saying, ""You have a death scene"", thereby not explicitly answering the question.",,,J.K. Rowling
265,Twain's wife died in 1904 while the couple were staying at the Villa di Quarto in Florence.,,,Mark Twain
234,"Near the completion of Huckleberry Finn, Twain wrote Life on the Mississippi, which is said to have heavily influenced the novel.",,,Mark Twain
860,=,,,J.K. Rowling
4,He later became a riverboat pilot on the Mississippi River before heading west to join Orion in Nevada.,,,Mark Twain
1047,"On 28 October 2015, the first round of tickets went on sale and sold out in several hours.


",,,J.K. Rowling
108,"In fall 1893, he began a friendship with financier Henry Huttleston Rogers, a principal of Standard Oil, that lasted the remainder of his life.",,,Mark Twain
1127,"As a student she became annoyed at the ""smugness of religious people"" and worshipped less often.",,,J.K. Rowling
67,"==

Twain and Olivia Langdon corresponded throughout 1868.",,,Mark Twain
289,"In 1899, however, he reversed course.",,,Mark Twain
45,"Twain describes the episode in his book Roughing It.


",,,Mark Twain
1051,"=== Anti-poverty and children's welfare ===
Rowling, once a single parent, is now president of the charity Gingerbread (originally One Parent Families), having become their first Ambassador in 2000.",,,J.K. Rowling
1228,"The Times.
",,,J.K. Rowling
400,"[the depth is] two [fathoms]"", that is, ""The water is 12 feet (3.7 m) deep and it is safe to pass.""
",,,Mark Twain
915,"Rowling said that she ""nearly died"" when she heard the news.",,,J.K. Rowling
1024,"It sees Strike investigating the disappearance of a writer hated by many of his old friends for insulting them in his new novel.
",,,J.K. Rowling
1217,"Harvard Magazine.
",,,J.K. Rowling
537,"According to his medical report, Kerouac said he ""asked for an aspirin for his headaches and they diagnosed me dementia praecox and sent me here.""",,,Jack Kerouac
725,"Artists including Bob Dylan, the Beatles, Patti Smith, Tom Waits, the Grateful Dead, and The Doors all credit Kerouac as a significant influence on their music and lifestyles.",,,Jack Kerouac
1149,"As of January 2014, she was seeking damages from the Mail for libel over an article about her time as a single mother.",,,J.K. Rowling
350,Who are the oppressed?,,,Mark Twain
188,A complete bibliography of Twain's works is nearly impossible to compile because of the vast number of pieces he wrote (often in obscure newspapers) and his use of several different pen names.,,,Mark Twain
754,"In the 2010s, there has been a surge in films based on the Beat Generation.",,,Jack Kerouac
347,"In a speech to them, he said:

",,,Mark Twain
943,"A film adaptation of Harry Potter and the Philosopher's Stone was released on 16 November 2001, and Harry Potter and the Chamber of Secrets on 15 November 2002.",,,J.K. Rowling
621,"Kerouac's novel is often described as the defining work of the post-World War II Beat Generation and Kerouac came to be called ""the king of the beat generation,"" a term with which he never felt comfortable.",,,Jack Kerouac
251,Twain's next venture was a work of straight fiction that he called Personal Recollections of Joan of Arc and dedicated to his wife.,,,Mark Twain
979,"===
",,,J.K. Rowling
518,"This experience, along with his dying brother's vision of the Virgin Mary (as the nuns fawned over him, convinced he was a saint), combined with a later study of Buddhism and an ongoing commitment to Christ, solidified the worldview which would inform Kerouac's work.
",,,Jack Kerouac
36,"Piloting also gave him his pen name from ""mark twain"", the leadsman's cry for a measured river depth of two fathoms (12 feet), which was safe water for a steamboat.
",,,Mark Twain
585,"I found him in the sky, in Market Street San Francisco (those 2 visions), and Dean (Neal) had God sweating out of his forehead all the way.",,,Jack Kerouac
1033,"While intended for a 2017 release, Rowling revealed on Twitter the book was taking longer than expected and would be the longest book in the series thus far.


",,,J.K. Rowling
755,Kerouac has been depicted in the films,,,Jack Kerouac
584,And we found him.,,,Jack Kerouac
798,"===


=",,,Jack Kerouac
38,"Henry was killed on June 21, 1858, when their steamboat Pennsylvania exploded.",,,Mark Twain
887,Rowling had previously suffered a miscarriage.,,,J.K. Rowling
651,"Are you nervous?"" asks Steve Allen.",,,Jack Kerouac
456,"Mark Twain Project Online
38 Facsimile copies of 1st editions
Works by Mark Twain at Project Gutenberg
Works by Mark Twain at Faded Page (Canada)
Works by or about Mark Twain at Internet Archive
Works by or about Samuel Langhorne Clemens at Internet Archive
Works by Mark Twain at LibriVox (public domain audiobooks) 
Mark Twain Library, University of California Press.",,,Mark Twain
1087,"In Rowling's case, Harry Potter and the Philosopher's Stone.",,,J.K. Rowling
121,Clara had wished to study the piano under Theodor Leschetizky in Vienna.,,,Mark Twain
612,==,,,Jack Kerouac
308,"Many of his neglected and previously uncollected writings on anti-imperialism appeared for the first time in book form in 1992.
",,,Mark Twain
198,But you committed one unpardonable sin – the unpardonable sin.,,,Mark Twain
689,"(This eventually became Dharma Bums, which Kerouac described as ""mostly about [Snyder]."")",,,Jack Kerouac
150,"There was a requirement that a copyright be registered to a Canadian resident; he addressed this by his short visits to the country.


",,,Mark Twain
155,"On May 20, 1909, his close friend Henry Rogers died suddenly.",,,Mark Twain
802,"The Jack and Stella Kerouac Center for the Public Humanities's website is an interactive storehouse and exhibition space dedicated to Jack Kerouac and connected topics.
",,,Jack Kerouac
975,"Rowling also owns a £4.5 million Georgian house in Kensington, west London, on a street with 24-hour security.
",,,J.K. Rowling
1099,"Rowling is a close friend of Sarah Brown, wife of Gordon Brown, whom she met when they collaborated on a charitable project for One Parent Families.
",,,J.K. Rowling
385,They also gave him a Book of Mormon.,,,Mark Twain
865,"Steve Eddy, her first secondary school English teacher, remembers her as ""not exceptional"" but ""one of a group of girls who were bright, and quite good at English"".",,,J.K. Rowling
723,=,,,Jack Kerouac
800,"An introduction to the life and work of Jack Kerouac, and the deep impact he had on our society and culture.
",,,Jack Kerouac
1030,"In March 2017, Rowling revealed the fourth novel's title via Twitter in a game of ""Hangman"" with her followers.",,,J.K. Rowling
345,"=== Labor ===
Twain wrote glowingly about unions in the river boating industry in Life on the Mississippi, which was read in union halls decades later.",,,Mark Twain
102,William M. Laffan of The New York Sun and the McClure Newspaper Syndicate offered him the publication of a series of six European letters.,,,Mark Twain
181,"=


=== Overview",,,Mark Twain
449,=,,,Mark Twain
946,"The fourth film, Harry Potter and the Goblet of Fire, was directed by Mike Newell, and released on 18 November 2005.",,,J.K. Rowling
837,"== Birth and family ===

Rowling was born to Peter James Rowling, a Rolls-Royce aircraft engineer, and Anne Rowling (née Volant), a science technician, on 31 July 1965 in Yate, Gloucestershire, England, 10 miles (16 km) northeast of Bristol.",,,J.K. Rowling
637,"I'm not a Buddhist any more.""",,,Jack Kerouac
843,"She later discovered the truth when featured in an episode of the UK genealogy series Who Do You Think You Are?, in which she found out it was a different Louis Volant who won the Legion of Honour.",,,J.K. Rowling
43,"He later wrote the sketch ""The Private History of a Campaign That Failed"", describing how he and his friends had been Confederate volunteers for two weeks before disbanding.
",,,Mark Twain
242,"He next focused on A Connecticut Yankee in King Arthur's Court, written with the same historical fiction style as The Prince and the Pauper.",,,Mark Twain
498,"Jack also had various stories on the etymology of his surname, usually tracing it to Irish, Breton, Cornish or other Celtic roots.",,,Jack Kerouac
273,"The first volume of the autobiography, over 736 pages, was published by the University of California in November 2010, 100 years after his death, as Twain wished.",,,Mark Twain
830,"Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers asked that she use two initials rather than her full name.",,,J.K. Rowling
610,"These revisions have often led to criticisms of the alleged spontaneity of Kerouac's style.


",,,Jack Kerouac
671,A possible contributing factor was an untreated hernia he suffered in a bar fight several weeks earlier.,,,Jack Kerouac
1169,"Locus Award, winner Harry Potter and the Prisoner of Azkaban
2001: Hugo Award for Best Novel, winner Harry Potter and the Goblet of Fire
2003: Premio Príncipe de Asturias, Concord
2003: Bram Stoker Award for Best Work for Young Readers, winner Harry Potter and the Order of the Phoenix
2006:",,,J.K. Rowling
1081,"In May 2007, Rowling pledged a donation reported as over £250,000 to a reward fund started by the tabloid News of the World for the safe return of a young British girl, Madeleine McCann, who disappeared in Portugal.",,,J.K. Rowling
609,"Many of the more sexually explicit passages were removed and, fearing libel suits, pseudonyms were used for the book's ""characters"".",,,Jack Kerouac
811,"Joanne Rowling,  ( ""rolling""; born 31 July 1965), writing under the pen names J. K. Rowling and Robert Galbraith, is a British novelist, screenwriter, and producer who is best known for writing the Harry Potter fantasy series.",,,J.K. Rowling
428,"It did eventually become his trademark, as illustrated in anecdotes about this eccentricity (such as the time he wore a white summer suit to a Congressional hearing during the winter).",,,Mark Twain
31,"The pilot, even in those days of trivial wages, had a princely salary – from a hundred and fifty to two hundred and fifty dollars a month, and no board to pay.

",,,Mark Twain
557,"Though the book was not published during their lifetimes, an excerpt eventually appeared in Word Virus:",,,Jack Kerouac
220,"The Prince and the Pauper was not as well received, despite a storyline that is common in film and literature today.",,,Mark Twain
1189,"Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists (6 September 2016)
",,,J.K. Rowling
1233,Isn’t it time we left orphanages to fairytales?,,,J.K. Rowling
196,"It was eloquent, moving, sincere.",,,Mark Twain
1179,"==


",,,J.K. Rowling
57,"A year later, he traveled to the Sandwich Islands (present day Hawaii) as a reporter for the Sacramento Union.",,,Mark Twain
756,Howl and Kill Your Darlings.,,,Jack Kerouac
1076,"In May 2008, bookseller Waterstones asked Rowling and 12 other writers (Sebastian Faulks, Doris Lessing, Lisa Appignanesi, Margaret Atwood, Lauren Child, Richard Ford, Neil Gaiman, Nick Hornby, Michael Rosen, Axel Scheffler, Tom Stoppard and Irvine Welsh) to compose a short piece of their own choosing on a single A5 card, which would then be sold at auction in aid of the charities Dyslexia Action and English PEN.",,,J.K. Rowling
501,"In still another interview he said it was an Irish word for ""language of the water"" and related to Kerwick.",,,Jack Kerouac
391,I am not interested to know whether Vivisection produces results that are profitable to the human race or doesn't. ...,,,Mark Twain
846,== Childhood,,,J.K. Rowling
221,"The book tells the story of two boys born on the same day who are physically identical, acting as a social commentary as the prince and pauper switch places.",,,Mark Twain
940,"The Harry Potter books have also gained recognition for sparking an interest in reading among the young at a time when children were thought to be abandoning books for computers and television, although it is reported that despite the huge uptake of the books, adolescent reading has continued to decline.


",,,J.K. Rowling
129,"In winter 1900/01, he became his country's most prominent opponent of imperialism, raising the issue in his speeches, interviews, and writings.",,,Mark Twain
965,"The first film, scripted by Rowling, was released in November 2016 and is set roughly 70 years before the events of the main series.",,,J.K. Rowling
1090,=,,,J.K. Rowling
861,"=== Education ====
Rowling attended St Michael's Primary School, a school founded by abolitionist William Wilberforce and education reformer",,,J.K. Rowling
241,This piece detailed his two-week stint in a Confederate militia during the Civil War.,,,Mark Twain
512,Kerouac would later say that his mother was the only woman he ever loved.,,,Jack Kerouac
534,It was during this time that he met the Beat Generation people,,,Jack Kerouac
113,"The first part of the itinerary took him across northern America to British Columbia, Canada, until the second half of August.",,,Mark Twain
386,"He later wrote in Roughing It about that book:

",,,Mark Twain
297,"We have gone there to conquer, not to redeem.
",,,Mark Twain
1107,"As a resident of Scotland, Rowling was eligible to vote in the 2014 referendum on Scottish independence, and campaigned for the ""No"" vote.",,,J.K. Rowling
942,"=

In October 1998, Warner Bros. purchased the film rights to the first two novels for a seven-figure sum.",,,J.K. Rowling
803,"Jack Kerouac on IMDb
Jack Kerouac at the Internet Speculative Fiction Database
Jack Kerouac at Curlie (based on DMOZ)
",,,Jack Kerouac
120,"Twain and his family spent four more years in Europe, mainly in England and Austria (October 1897 to May 1899), with longer spells in London and Vienna.",,,Mark Twain
371,"He raised money to build a Presbyterian Church in Nevada in 1864.
",,,Mark Twain
282,Twain's views became more radical as he grew older.,,,Mark Twain
855,"Her home life was complicated by her mother's diagnosis with multiple sclerosis and a strained relationship with her father, with whom she is not on speaking terms.",,,J.K. Rowling
542,"Although written in 1942, the book was not published until 2011, some 42 years after Kerouac's death and 70 years after it was written.",,,Jack Kerouac
810,"A new remastered DVD
Jack Kerouac at Find a Grave",,,Jack Kerouac
89,"Twain's novel A Connecticut Yankee in King Arthur's Court (1889) features a time traveler from the contemporary U.S., using his knowledge of science to introduce modern technology to Arthurian England.",,,Mark Twain
716,"In 1955, he began an intensive study of this sutra, in a repeating weekly cycle, devoting one day to each of the six Pāramitās, and the seventh to the concluding passage on Samādhi.",,,Jack Kerouac
378,Ours is a terrible religion.,,,Mark Twain
1144,"The judgement was overturned in David's favour in May 2008.
",,,J.K. Rowling
1243,"==


=",,,J.K. Rowling
458,"The Works of Mark Twain, University of California Press.",,,Mark Twain
22,"When he was four, Twain's family moved to Hannibal, Missouri, a port town on the Mississippi River that inspired the fictional town of St. Petersburg in The Adventures of Tom Sawyer and the Adventures of Huckleberry Finn.",,,Mark Twain
1171,"Named Barbara Walters' Most Fascinating Person of the year
2008: British Book Awards, Outstanding Achievement
2008",,,J.K. Rowling
685,"When spoken, the words take on a certain musical rhythm and tempo.
",,,Jack Kerouac
430,"In his autobiography, Twain writes of his early experiments with wearing white out-of-season:

",,,Mark Twain
552,Kerouac and Burroughs were later arrested as material witnesses.,,,Jack Kerouac
413,"It was a shabby poor performance, but I didn't know it, and the pilots didn't know it.",,,Mark Twain
461,"This series publishes Mark Twain's private papers – his letters, notebooks, unpublished literary works, and autobiography.
",,,Mark Twain
687,"The Dharma Bums contains accounts of a mountain climbing trip Kerouac took with Snyder, and includes excerpts of letters from Snyder.",,,Jack Kerouac
1006,"In April 2013, Little Brown published The Cuckoo's Calling, the purported début novel of author Robert Galbraith, whom the publisher described as ""a former plainclothes Royal Military Police investigator who had left in 2003 to work in the civilian security industry"".",The Cuckoo's Calling,2013.0,J.K. Rowling
454,"Mark Twain Project Online
Autobiography of Mark Twain, Volume 2, 2013 –",,,Mark Twain
747,or I'm,,,Jack Kerouac
948,"David Yates directed, and Michael Goldenberg wrote the screenplay, having taken over the position from Steve Kloves.",,,J.K. Rowling
82,=,,,Mark Twain
1075,"==
",,,J.K. Rowling
608,"In 1957, after being rejected by several other publishers, On the Road was finally purchased by Viking Press, which demanded major revisions prior to publication.",,,Jack Kerouac
0,"Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910), better known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer.",,,Mark Twain
1007,"The novel, a detective story in which private investigator Cormoran Strike unravels the supposed suicide of a supermodel, sold 1,500 copies in hardback (although the matter was not resolved as of 21 July 2013; later reports stated that this number is the number of copies that were printed for the first run, while the sales total was closer to 500) and received acclaim from other crime writers and critics—a Publishers Weekly review called the book a ""stellar debut"", while the Library Journal's mystery section pronounced the novel ""the debut of the month"".
",,,J.K. Rowling
337,"Cooper thinks they are marvelous creatures for noticing, but he was almost always in error about his Indians.",,,Mark Twain
401,Twain claimed that his famous pen name was not entirely his invention.,,,Mark Twain
976,"In 2017, Rowling was worth an estimated £650 million according to the Sunday Times Rich List.",,,J.K. Rowling
33,"The pilot had to:

…get up a warm personal acquaintanceship with every old snag and one-limbed cottonwood and every obscure wood pile that ornaments the banks of this river for twelve hundred miles; and more than that, must… actually know where these things are in the dark

Steamboat pilot Horace E. Bixby took Twain on as a cub pilot to teach him the river between New Orleans and St. Louis for $500, payable out of Twain's first wages after graduating.",,,Mark Twain
509,Kerouac spoke French until he learned English at age six; he did not speak English confidently until his late teens.,,,Jack Kerouac
485,"In 1969, at age 47, Kerouac died from an abdominal hemorrhage caused by a lifetime of heavy drinking.",,,Jack Kerouac
909,"Soon after, in 1997, Rowling received an £8,000 grant from the Scottish Arts Council to enable her to continue writing.
",,,J.K. Rowling
785,"Les Éditions du Boréal, a Montreal-based publishing house, obtained rights from Kerouac's estate to publish a collection of works titled La vie est d’hommage (it was released in April 2016).",,,Jack Kerouac
268,This particular work was not published in Twain's lifetime.,,,Mark Twain
431,"Next after fine colors, I like plain white.",,,Mark Twain
535,"—now famous—with whom he would always be associated, and who as characters formed the basis of many of his novels, including: Allen Ginsberg, Neal Cassady, John Clellon Holmes, Herbert Huncke, Lucien Carr and William S. Burroughs.
",,,Jack Kerouac
544,"He viewed the work as a failure, calling it a ""crock as literature"", and he never actively sought to publish it.
",,,Jack Kerouac
1067,"An inflatable representation of Lord Voldemort and other children's literary characters accompanied her reading.


",,,J.K. Rowling
243,A Connecticut Yankee showed the absurdities of political and social norms by setting them in the court of King Arthur.,,,Mark Twain
1097,"=== Politics ===

Rowling is known for her left-wing political views.",,,J.K. Rowling
478,"The Fountain Pens used by Mark Twain
article and rare pictures of Mark Twain and photographer Napoleon Sarony
preserved color portrait of Twain sitting in garden in 1900
Google map with placemarks for places in America associated with Twain
A film clip of Mark Twain is available at the Internet Archive",,,Mark Twain
1161,"==

Rowling has received honorary degrees from St Andrews University, the University of Edinburgh, Edinburgh Napier University, the University of Exeter which she attended, the University of Aberdeen and Harvard University, for whom she spoke at the 2008 commencement ceremony.",,,J.K. Rowling
613,"Later career: 1957–1969 ===
In July 1957, Kerouac moved to a small house at 1418½ Clouser Avenue in the College Park section of Orlando, Florida, to await the release of On the Road.",,,Jack Kerouac
229,"Ernest Hemingway once said of Huckleberry Finn:

",,,Mark Twain
314,"In the soliloquy, the King argues that bringing Christianity to the country outweighs a little starvation.",,,Mark Twain
230,"If you read it, you must stop where the Nigger Jim is stolen from the boys.",,,Mark Twain
1242,== References,,,J.K. Rowling
1142,"In 2007, Rowling's young son, David, assisted by Rowling and her husband, lost a court fight to ban publication of a photograph of him.",,,J.K. Rowling
53,"His experiences in Angels Camp (in Calaveras County, California) provided material for ""The Celebrated Jumping Frog of Calaveras County"" (1865).
",,,Mark Twain
14,=,,,Mark Twain
101,Twain and his family closed down their expensive Hartford home in response to the dwindling income and moved to Europe in June 1891.,,,Mark Twain
852,"When she was a young teenager, her great-aunt gave her a copy of Jessica Mitford's autobiography, Hons and Rebels.",,,J.K. Rowling
286,"Before 1899, Twain was an ardent imperialist.",,,Mark Twain
1118,=,,,J.K. Rowling
278,"According to Stuart (2013), ""Leading these banning campaigns, generally, were religious organizations or individuals in positions of influence – not so much working librarians, who had been instilled with that American ""library spirit"" which honored intellectual freedom (within bounds of course)"".",,,Mark Twain
1199,"Career of Evil (as Robert Galbraith) (20 October 2015)
",,,J.K. Rowling
91,"In 1909, Thomas Edison visited Twain at his home in Redding, Connecticut and filmed him.",,,Mark Twain
603,"A Life of the Buddha, which was unpublished during his lifetime, but eventually serialized in Tricycle:",,,Jack Kerouac
6,"His humorous story, ""The Celebrated Jumping Frog of Calaveras County"", was published in 1865, based on a story that he heard at Angels Hotel in Angels Camp, California where he had spent some time as a miner.",The Celebrated Jumping Frog of Calaveras County,1865.0,Mark Twain
344,"Helen Keller benefited from Twain's support as she pursued her college education and publishing despite her disabilities and financial limitations.


",,,Mark Twain
20,"His sister Margaret (1830–1839) died when Twain was three, and his brother Benjamin (1832–1842) died three years later.",,,Mark Twain
631,"In response, Kerouac chronicled parts of his own experience with Buddhism, as well as some of his adventures with Gary Snyder and other San Francisco-area poets, in The Dharma Bums, set in California and Washington and published in 1958.",,,Jack Kerouac
62,"It was on this trip that he met fellow passenger Charles Langdon, who showed him a picture of his sister Olivia.",,,Mark Twain
1225,"Rowling, J. K.",,,J.K. Rowling
835,"Who's Who lists her name also as Joanne Kathleen Rowling.


",,,J.K. Rowling
178,"He expressed a preference for cremation (for example, in Life on the Mississippi), but he acknowledged that his surviving family would have the last word.
",,,Mark Twain
1011,"Knight notified Richard Brooks, arts editor of the Sunday Times, who began his own investigation.",,,J.K. Rowling
303,I wish him success.,,,Mark Twain
869,"Rowling recalls doing little work, preferring to read Dickens and Tolkien.",,,J.K. Rowling
295,"It seemed to me a great task to which we had addressed ourselves.
",,,Mark Twain
46,=== Travels =,,,Mark Twain
691,"Kerouac described the experience in Desolation Angels.
",,,Jack Kerouac
664,"== Death ===
",,,Jack Kerouac
292,"I said to myself,",,,Mark Twain
444,"Wikipedia book
 Children's Literature portal
American Literary Regionalism
American Realism
Back-translation
Bernard DeVoto (historian)
Christian Science (book)
Thomas S. Hinde, friend who corresponded with Mark Twain throughout his life.
",,,Mark Twain
818,"Rowling has lived a ""rags to riches"" life story, in which she progressed from living on state benefits to being the world's first billionaire author.",,,J.K. Rowling
679,"He often referred to his style as ""spontaneous prose"".",,,Jack Kerouac
28,"He educated himself in public libraries in the evenings, finding wider information than at a conventional school.
",,,Mark Twain
776,"==
",,,Jack Kerouac
823,"Time magazine named her as a runner-up for its 2007 Person of the Year, noting the social, moral, and political inspiration she has given her fans.",,,J.K. Rowling
158,"To further aid Coolbrith, George Wharton James visited Twain in New York and arranged for a new portrait session.",,,Mark Twain
477,"PBS Twain Interactive Scrapbook and San Francisco Chronicle article documenting that Clemens did not say ""The coldest winter I ever spent was summer in San Francisco"".
",,,Mark Twain
833,"Following her remarriage, she has sometimes used the name Joanne Murray when conducting personal business.",,,J.K. Rowling
440,= Bibliography,,,Mark Twain
567,"For the next six years, Kerouac continued to write regularly.",,,Jack Kerouac
412,In my satire I made rude game of his reminiscences.,,,Mark Twain
848,"=

Rowling's sister Dianne was born at their home when Rowling was 23 months old.",,,J.K. Rowling
467,"As I Heard It"" from The Atlantic Monthly.",,,Mark Twain
528,"Kerouac broke a leg playing football during his freshman season, and during an abbreviated sophomore year he argued constantly with coach Lou Little, who kept him benched.",,,Jack Kerouac
